# time,BOT[0].botPosition[1]
8566.031055215411,9
8566.031055215411,9
8570.911055215518,7
8570.911055215518,7
8575.791055215625,4
8575.791055215625,4
8580.671055215731,3
8580.671055215731,3
8713.171993356942,3
8718.048603710975,0
8718.048603710975,0
8741.171993357553,0
8746.048603711586,3
8746.048603711586,3
8750.928603711693,5
8750.928603711693,5
8755.808603711799,8
8755.808603711799,8
8760.688603711906,9
8760.688603711906,9
8765.568603712012,12
8765.568603712012,12
8770.448603712119,14
8770.448603712119,14
8787.171993358557,14
8792.04771595698,12
8792.04771595698,12
8805.17199335895,12
8810.047715957373,9
8810.047715957373,9
8814.927715957479,8
8814.927715957479,8
8819.80199335927,5
8819.80199335927,5
8824.677715957692,3
8824.677715957692,3
8850.315876125414,3
8855.195876125521,0
8855.195876125521,0
8872.315876125895,0
8877.195876126001,3
8877.195876126001,3
8882.077715958945,5
8882.077715958945,5
8886.955876126214,8
8886.955876126214,8
8891.837715959158,10
8891.837715959158,10
8896.715876126427,13
8896.715876126427,13
8901.595876126534,14
8901.595876126534,14
8926.312093859984,14
8931.186944485778,12
8931.186944485778,12
8952.312093860552,12
8957.186944486346,9
8957.186944486346,9
8962.066944486452,7
8962.066944486452,7
8966.946944486559,4
8966.946944486559,4
8971.826944486666,2
8971.826944486666,2
8976.706944486772,0
8976.706944486772,0
8981.586944486879,2
8981.586944486879,2
8986.462093861297,3
8986.462093861297,3
9053.38466747323,3
9058.259892404018,0
9058.259892404018,0
9089.384667474016,0
9094.263358356075,3
9094.263358356075,3
9099.143358356181,5
9099.143358356181,5
9104.023358356288,7
9104.023358356288,7
9108.903358356394,9
9108.903358356394,9
9113.783358356501,12
9113.783358356501,12
9118.663358356607,14
9118.663358356607,14
9127.384667474846,14
9132.264667474952,12
9132.264667474952,12
9137.384667475064,12
9142.26466747517,9
9142.26466747517,9
9147.146752824267,7
9147.146752824267,7
9152.024667475383,5
9152.024667475383,5
9156.90675282448,3
9156.90675282448,3
9894.528699212151,3
9899.404636700836,0
9899.404636700836,0
9904.284636700942,1
9904.284636700942,1
9909.164636701049,4
9909.164636701049,4
9914.044636701155,6
9914.044636701155,6
9918.924636701262,8
9918.924636701262,8
9923.79869921279,10
9923.79869921279,10
9928.678699212896,13
9928.678699212896,13
9933.558699213003,14
9933.558699213003,14
9968.528699213766,14
9973.408699213873,12
9973.408699213873,12
10006.5286992146,12
10011.4086992147,9
10011.4086992147,9
10016.28519308706,7
10016.28519308706,7
10021.15869921492,5
10021.15869921492,5
10026.03869921502,3
10026.03869921502,3
10476.53974167795,3
10481.42160316838,0
10481.42160316838,0
10486.30160316848,1
10486.30160316848,1
10491.18160316859,3
10491.18160316859,3
10496.0616031687,5
10496.0616031687,5
10500.9416031688,8
10500.9416031688,8
10505.82160316891,10
10505.82160316891,10
10510.6997416787,13
10510.6997416787,13
10515.58160316912,14
10515.58160316912,14
10553.41315788098,14
10558.28843272562,12
10558.28843272562,12
10591.41315788182,12
10596.28781066035,9
10596.28781066035,9
10601.16781066046,7
10601.16781066046,7
10606.04843272668,4
10606.04843272668,4
10610.92781066068,2
10610.92781066068,2
10617.4131578824,2
10622.28781066093,3
10622.28781066093,3
10903.59024933018,3
10908.46352463264,0
10908.46352463264,0
10931.59024933079,0
10936.47024933089,3
10936.47024933089,3
10941.34674138388,4
10941.34674138388,4
10946.22024933111,7
10946.22024933111,7
10951.0967413841,9
10951.0967413841,9
10955.97024933132,12
10955.97024933132,12
10960.85024933143,14
10960.85024933143,14
10986.19241240888,14
10991.07241240898,12
10991.07241240898,12
11004.19241240927,12
11009.07241240938,9
11009.07241240938,9
11013.95241240948,7
11013.95241240948,7
11018.83241240959,4
11018.83241240959,4
11023.7124124097,3
11023.7124124097,3
11084.89638356931,3
11089.77638356941,0
11089.77638356941,0
11104.89638356973,0
11109.77638356983,3
11109.77638356983,3
11114.651052253,4
11114.651052253,4
11119.52638357003,7
11119.52638357003,7
11124.40638357013,9
11124.40638357013,9
11129.28638357024,12
11129.28638357024,12
11134.16638357034,14
11134.16638357034,14
11161.60203312934,14
11166.48203312945,12
11166.48203312945,12
11187.60203312989,12
11192.48203312999,9
11192.48203312999,9
11197.36062969255,7
11197.36062969255,7
11202.24203313019,4
11202.24203313019,4
11207.12062969276,3
11207.12062969276,3
12115.91269027523,3
12120.788705088,0
12120.788705088,0
12147.91269027593,0
12152.7887050887,3
12152.7887050887,3
12157.66870508881,5
12157.66870508881,5
12162.54870508891,7
12162.54870508891,7
12167.42870508902,9
12167.42870508902,9
12172.30269027646,12
12172.30269027646,12
12177.17870508923,14
12177.17870508923,14
12189.91269027685,14
12194.79269027695,12
12194.79269027695,12
12203.91269027715,12
12208.79080171959,9
12208.79080171959,9
12213.6708017197,7
12213.6708017197,7
12218.55080171981,5
12218.55080171981,5
12223.43080171991,3
12223.43080171991,3
12418.31143335713,3
12423.19143335723,0
12423.19143335723,0
12446.31143335772,0
12451.19232330473,3
12451.19232330473,3
12456.0738747525,4
12456.0738747525,4
12460.95143335802,7
12460.95143335802,7
12465.83232330504,9
12465.83232330504,9
12470.71143335824,12
12470.71143335824,12
12475.59232330525,14
12475.59232330525,14
12492.31143335871,14
12497.19232330572,12
12497.19232330572,12
12510.3114333591,12
12515.19143335921,9
12515.19143335921,9
12520.06625823203,7
12520.06625823203,7
12524.94143335942,4
12524.94143335942,4
12529.82143335953,3
12529.82143335953,3
12785.94327772688,3
12790.82327772698,0
12790.82327772698,0
12795.70327772709,1
12795.70327772709,1
12800.58327772719,3
12800.58327772719,3
12805.46327772729,5
12805.46327772729,5
12810.34327772739,8
12810.34327772739,8
12815.22327772749,10
12815.22327772749,10
12820.10327772759,13
12820.10327772759,13
12824.9832777277,14
12824.9832777277,14
12859.94327772846,14
12864.82327772857,12
12864.82327772857,12
12897.94327772929,12
12902.81780544505,9
12902.81780544505,9
12907.69780544516,7
12907.69780544516,7
12912.57327772961,4
12912.57327772961,4
12917.44780544537,2
12917.44780544537,2
12922.32327772982,3
12922.32327772982,3
13115.58664802157,3
13120.46664802168,0
13120.46664802168,0
13159.58664802253,0
13164.46664802264,3
13164.46664802264,3
13169.34664802275,5
13169.34664802275,5
13174.22664802285,7
